key;title;mdate;year;publtype;pages;url;ee;bookKey
reference/algo/Raptopoulos15;Colouring Non-sparse Random Intersection Graphs.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#Raptopoulos15;http://dx.doi.org/10.1007/978-3-642-27848-8_597-1;reference/algo/2015
reference/algo/X08cd;Tree Agreement.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#X08cd;http://dx.doi.org/10.1007/978-0-387-30162-4_428;reference/algo/2008
reference/algo/Pilipczuk15a;Planar Directed k-Vertex-Disjoint Paths Problem.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#Pilipczuk15a;http://dx.doi.org/10.1007/978-3-642-27848-8_693-1;reference/algo/2015
reference/algo/Baeza-Yates08;Deterministic Searching on the Line.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Baeza-Yates08;http://dx.doi.org/10.1007/978-0-387-30162-4_106;reference/algo/2008
reference/algo/Mendel08;Metrical Task Systems.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Mendel08;http://dx.doi.org/10.1007/978-0-387-30162-4_229;reference/algo/2008
reference/algo/Hallgren08;Quantum Algorithm for Factoring.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Hallgren08;http://dx.doi.org/10.1007/978-0-387-30162-4_307;reference/algo/2008
reference/algo/Bansal08;Approximation Schemes for Bin Packing.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Bansal08;http://dx.doi.org/10.1007/978-0-387-30162-4_31;reference/algo/2008
reference/algo/FerraginaM08a;Burrows-Wheeler Transform.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#FerraginaM08a;http://dx.doi.org/10.1007/978-0-387-30162-4_59;reference/algo/2008
reference/algo/Bodlaender15a;Treewidth of Graphs.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#Bodlaender15a;http://dx.doi.org/10.1007/978-3-642-27848-8_431-2;reference/algo/2015
reference/algo/Cheng15a;Manifold Reconstruction.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#Cheng15a;http://dx.doi.org/10.1007/978-3-642-27848-8_714-1;reference/algo/2015
reference/algo/Pettie08a;Minimum Spanning Trees.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Pettie08a;http://dx.doi.org/10.1007/978-0-387-30162-4_239;reference/algo/2008
reference/algo/Bodlaender15;Kernelization, Exponential Lower Bounds.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#Bodlaender15;http://dx.doi.org/10.1007/978-3-642-27848-8_521-1;reference/algo/2015
reference/algo/X08ch;Truthful.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#X08ch;http://dx.doi.org/10.1007/978-0-387-30162-4_434;reference/algo/2008
reference/algo/X08ar;Hitting Set.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#X08ar;http://dx.doi.org/10.1007/978-0-387-30162-4_179;reference/algo/2008
reference/algo/X08s;Block-Sorting Data Compression.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#X08s;http://dx.doi.org/10.1007/978-0-387-30162-4_51;reference/algo/2008
reference/algo/Gasieniec08;Deterministic Broadcasting in Radio Networks.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Gasieniec08;http://dx.doi.org/10.1007/978-0-387-30162-4_105;reference/algo/2008
reference/algo/Takaoka08;All Pairs Shortest Paths via Matrix Multiplication.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Takaoka08;http://dx.doi.org/10.1007/978-0-387-30162-4_12;reference/algo/2008
reference/algo/Kratsch15a;Kernelization, Preprocessing for Treewidth.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#Kratsch15a;http://dx.doi.org/10.1007/978-3-642-27848-8_529-1;reference/algo/2015
reference/algo/Dosa15;First Fit Algorithm for Bin Packing.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#Dosa15;http://dx.doi.org/10.1007/978-3-642-27848-8_487-1;reference/algo/2015
reference/algo/WangLW08;Truthful Multicast.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#WangLW08;http://dx.doi.org/10.1007/978-0-387-30162-4_437;reference/algo/2008
reference/algo/McGeoch08a;Implementation Challenge for TSP Heuristics.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#McGeoch08a;http://dx.doi.org/10.1007/978-0-387-30162-4_182;reference/algo/2008
reference/algo/PrakashA08;Binary Decision Graph.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#PrakashA08;http://dx.doi.org/10.1007/978-0-387-30162-4_48;reference/algo/2008
reference/algo/X08cl;Two-Person Game.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#X08cl;http://dx.doi.org/10.1007/978-0-387-30162-4_447;reference/algo/2008
reference/algo/Bansal15;Approximation Schemes for Bin Packing.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#Bansal15;http://dx.doi.org/10.1007/978-3-642-27848-8_31-2;reference/algo/2015
